Date,Day,Name
Jan 1,Friday,New Year's Day
Jan 1,Friday,New Year's Day
Jan 4,Monday,World Braille Day
Jan 6,Wednesday,Epiphany
Jan 7,Thursday,Orthodox Christmas Day
Jan 7,Thursday,International Programmers' Day
Jan 7,Thursday,Estelle Reel Day
Jan 8,Friday,Battle of New Orleans
Jan 13,Wednesday,Stephen Foster Memorial Day
Jan 14,Thursday,Orthodox New Year
Jan 17,Sunday,World Religion Day
Jan 18,Monday,Martin Luther King Jr. Day
Jan 18,Monday,Martin Luther King Jr. Day
Jan 18,Monday,Robert E. Lee's Birthday
Jan 18,Monday,Idaho Human Rights Day
Jan 18,Monday,Civil Rights Day
Jan 19,Tuesday,Robert E. Lee's Birthday
Jan 19,Tuesday,State Holiday
Jan 19,Tuesday,Confederate Heroes' Day
Jan 20,Wednesday,Inauguration Day
Jan 20,Wednesday,Inauguration Day
Jan 24,Sunday,International Day of Education
Jan 26,Tuesday,International Customs Day
Jan 27,Wednesday,International Day of Commemoration in Memory of the Victims of the Holocaust
Jan 28,Thursday,Tu Bishvat/Tu B'Shevat
Jan 29,Friday,Kansas Day
Jan 31,Sunday,World Leprosy Day
,,
Feb 1,Monday,National Freedom Day
Feb 1,Monday,First Day of Black History Month
Feb 2,Tuesday,World Wetlands Day
Feb 2,Tuesday,Groundhog Day
Feb 3,Wednesday,National Girls and Women in Sports Day
Feb 4,Thursday,International Day of Human Fraternity
Feb 4,Thursday,World Cancer Day
Feb 4,Thursday,Rosa Parks Day
Feb 4,Thursday,Rosa Parks Day
Feb 5,Friday,National Wear Red Day
Feb 6,Saturday,International Day of Zero Tolerance for Female Genital Mutilation
Feb 6,Saturday,Ronald Reagan Day
Feb 7,Sunday,Super Bowl
Feb 10,Wednesday,World Pulses Day
Feb 11,Thursday,International Day of Women and Girls in Science
Feb 11,Thursday,World Day of the Sick
Feb 12,Friday,Lincoln's Birthday
Feb 12,Friday,Lincoln's Birthday
Feb 12,Friday,Georgia Day
Feb 12,Friday,Lunar New Year
Feb 13,Saturday,World Radio Day
Feb 14,Sunday,Valentine's Day
Feb 14,Sunday,Statehood Day
Feb 15,Monday,Presidents' Day
Feb 15,Monday,Presidents' Day
Feb 15,Monday,Presidents' Day
Feb 15,Monday,Daisy Gatson Bates Day
Feb 15,Monday,Susan B. Anthony's Birthday
