rideable_type,month_year,member_casual,count(ride_id)
classic_bike,"April 2021",casual,70776
docked_bike,"April 2021",casual,24714
electric_bike,"April 2021",casual,41111
classic_bike,"August 2021",casual,229988
docked_bike,"August 2021",casual,45065
electric_bike,"August 2021",casual,137618
classic_bike,"December 2020",casual,11319
docked_bike,"December 2020",casual,4968
electric_bike,"December 2020",casual,13793
classic_bike,"February 2021",casual,5695
docked_bike,"February 2021",casual,1271
electric_bike,"February 2021",casual,3165
classic_bike,"January 2021",casual,8259
docked_bike,"January 2021",casual,2105
electric_bike,"January 2021",casual,7753
classic_bike,"July 2021",casual,241489
docked_bike,"July 2021",casual,57698
electric_bike,"July 2021",casual,142869
classic_bike,"June 2021",casual,188245
docked_bike,"June 2021",casual,51716
electric_bike,"June 2021",casual,130720
classic_bike,"March 2021",casual,45528
docked_bike,"March 2021",casual,15657
electric_bike,"March 2021",casual,22848
classic_bike,"May 2021",casual,123950
docked_bike,"May 2021",casual,43353
electric_bike,"May 2021",casual,89613
docked_bike,"November 2020",casual,46013
electric_bike,"November 2020",casual,42086
classic_bike,"November 2021",casual,31866
docked_bike,"November 2021",casual,7614
electric_bike,"November 2021",casual,67449
classic_bike,"October 2021",casual,105589
docked_bike,"October 2021",casual,22884
electric_bike,"October 2021",casual,128769
classic_bike,"September 2021",casual,195466
docked_bike,"September 2021",casual,35337
electric_bike,"September 2021",casual,133087
