rideable_type,month_year,member_casual,count(ride_id)
classic_bike,"April 2021",casual,70776
classic_bike,"April 2021",member,143843
docked_bike,"April 2021",casual,24714
electric_bike,"April 2021",casual,41111
electric_bike,"April 2021",member,56786
classic_bike,"August 2021",casual,229988
classic_bike,"August 2021",member,273045
docked_bike,"August 2021",casual,45065
electric_bike,"August 2021",casual,137618
electric_bike,"August 2021",member,118636
classic_bike,"December 2020",casual,11319
classic_bike,"December 2020",member,59297
docked_bike,"December 2020",casual,4968
docked_bike,"December 2020",member,8036
electric_bike,"December 2020",casual,13793
electric_bike,"December 2020",member,34160
classic_bike,"February 2021",casual,5695
classic_bike,"February 2021",member,29317
docked_bike,"February 2021",casual,1271
electric_bike,"February 2021",casual,3165
electric_bike,"February 2021",member,10174
classic_bike,"January 2021",casual,8259
classic_bike,"January 2021",member,53441
docked_bike,"January 2021",casual,2105
docked_bike,"January 2021",member,1
electric_bike,"January 2021",casual,7753
electric_bike,"January 2021",member,25275
classic_bike,"July 2021",casual,241489
classic_bike,"July 2021",member,265420
docked_bike,"July 2021",casual,57698
electric_bike,"July 2021",casual,142869
electric_bike,"July 2021",member,114934
classic_bike,"June 2021",casual,188245
classic_bike,"June 2021",member,246775
docked_bike,"June 2021",casual,51716
electric_bike,"June 2021",casual,130720
electric_bike,"June 2021",member,112139
classic_bike,"March 2021",casual,45528
classic_bike,"March 2021",member,107017
docked_bike,"March 2021",casual,15657
electric_bike,"March 2021",casual,22848
electric_bike,"March 2021",member,37446
classic_bike,"May 2021",casual,123950
classic_bike,"May 2021",member,185143
docked_bike,"May 2021",casual,43353
electric_bike,"May 2021",casual,89613
electric_bike,"May 2021",member,89574
docked_bike,"November 2020",casual,46013
docked_bike,"November 2020",member,105569
electric_bike,"November 2020",casual,42086
