Member_Casual,month_year,count(ride_id)
Casual,2021-04-01,136601
Casual,2021-08-01,412671
Casual,2020-12-01,30080
Casual,2021-02-01,10131
Casual,2021-01-01,18117
Casual,2021-07-01,442056
Casual,2021-06-01,370681
Casual,2021-03-01,84033
Casual,2021-05-01,256916
Casual,2020-11-01,88099
Casual,2021-11-01,106929
Casual,2021-10-01,257242
Casual,2021-09-01,363890
Member,2021-04-01,200629
Member,2021-08-01,391681
Member,2020-12-01,101493
Member,2021-02-01,39491
Member,2021-01-01,78717
Member,2021-07-01,380354
Member,2021-06-01,358914
Member,2021-03-01,144463
Member,2021-05-01,274717
Member,2020-11-01,171617
Member,2021-11-01,253049
Member,2021-10-01,373984
Member,2021-09-01,392257
