start_station_name,start_station_id,count(ride_id),start_lat,start_lng,member_casual
Kostner Ave & Lake St,536,361984,41.88,-87.73,member
Clark St & Elm St,176,26130,41.9029,-87.6318,member
Wells St & Concord Ln,289,24411,41.9121,-87.6349,member
Kingsbury St & Kinzie St,133,24111,41.8892,-87.6384,member
Wells St & Elm St,182,21700,41.9033,-87.6347,member
Dearborn St & Erie St,110,20651,41.894,-87.6293,member
Wells St & Huron St,53,20104,41.8949,-87.6344,member
St. Clair St & Erie St,211,19892,41.8939,-87.6227,member
Broadway & Barry Ave,300,18955,41.9377,-87.6441,member
Clark St & Armitage Ave,94,17684,41.9183,-87.6363,member
